#boxnum ombh2 omch2 w0 ns ln10As H0 Neff sigma8
000 2.268325e-02 1.140598e-01 -8.165972e-01 9.755890e-01 3.092918e+00 6.336569e+01 2.918750e+00 7.730715e-01
001 2.245071e-02 1.172576e-01 -1.134440e+00 9.765227e-01 3.149872e+00 7.309972e+01 3.173750e+00 8.954628e-01
002 2.299820e-02 1.087487e-01 -6.846595e-01 9.974496e-01 3.093773e+00 6.370848e+01 3.258750e+00 6.929467e-01
003 2.267590e-02 1.123064e-01 -7.437379e-01 9.480812e-01 3.000900e+00 6.404189e+01 3.556250e+00 6.715524e-01
004 2.208455e-02 1.062517e-01 -7.666051e-01 9.650928e-01 3.118565e+00 6.504913e+01 2.663750e+00 7.490580e-01
005 2.066455e-02 1.295035e-01 -1.326359e+00 9.278462e-01 3.023645e+00 7.275418e+01 2.961250e+00 9.339844e-01
006 2.294146e-02 1.115033e-01 -7.103081e-01 9.706424e-01 3.015966e+00 6.269873e+01 2.706250e+00 7.103632e-01
007 2.281365e-02 1.195969e-01 -8.666033e-01 9.662983e-01 3.162138e+00 6.437164e+01 3.938750e+00 7.778608e-01
008 2.067695e-02 1.238351e-01 -1.163731e+00 9.491313e-01 3.147130e+00 6.939996e+01 3.598750e+00 8.919908e-01
009 2.134390e-02 1.158135e-01 -8.309330e-01 9.475234e-01 3.071769e+00 6.235637e+01 3.896250e+00 7.220269e-01
010 2.189334e-02 1.289506e-01 -1.241154e+00 9.610168e-01 3.050463e+00 7.208599e+01 4.236250e+00 8.497577e-01
011 2.262122e-02 1.089506e-01 -8.609277e-01 9.960324e-01 3.158114e+00 6.773404e+01 2.833750e+00 8.055318e-01
012 2.250605e-02 1.167658e-01 -8.794716e-01 9.539512e-01 3.048009e+00 6.537987e+01 2.876250e+00 7.851298e-01
013 2.189555e-02 1.171763e-01 -1.119505e+00 9.788153e-01 3.067809e+00 7.108341e+01 3.003750e+00 8.660544e-01
014 2.264907e-02 1.271080e-01 -1.116826e+00 9.723654e-01 3.093885e+00 6.873003e+01 2.748750e+00 9.232811e-01
015 2.146760e-02 1.285016e-01 -1.302908e+00 9.335675e-01 3.094304e+00 7.410001e+01 3.726250e+00 9.078274e-01
016 2.177406e-02 1.206762e-01 -1.131299e+00 9.662156e-01 3.014076e+00 7.007432e+01 3.768750e+00 8.069646e-01
017 2.228121e-02 1.194239e-01 -1.248070e+00 9.519719e-01 3.035022e+00 7.443912e+01 3.216250e+00 8.695022e-01
018 2.287409e-02 1.157403e-01 -1.032177e+00 9.533103e-01 3.020205e+00 7.075163e+01 4.278750e+00 7.356345e-01
019 2.238260e-02 1.132626e-01 -1.091607e+00 9.672909e-01 3.095691e+00 7.242955e+01 3.683750e+00 8.083719e-01
020 2.225371e-02 1.224880e-01 -9.898374e-01 9.528876e-01 3.119866e+00 6.705524e+01 3.386250e+00 8.378528e-01
021 2.361513e-02 1.171690e-01 -8.658316e-01 9.757853e-01 3.131585e+00 6.638900e+01 3.853750e+00 7.617592e-01
022 2.153845e-02 1.210090e-01 -1.031605e+00 9.585567e-01 3.072322e+00 6.806190e+01 2.621250e+00 8.804510e-01
023 2.272630e-02 1.012181e-01 -5.658486e-01 9.745746e-01 3.019204e+00 6.203350e+01 3.471250e+00 5.746315e-01
024 2.245361e-02 1.102766e-01 -7.614561e-01 9.589180e-01 3.143937e+00 6.303209e+01 4.151250e+00 6.918467e-01
025 2.092906e-02 1.170569e-01 -9.478782e-01 9.344636e-01 3.036794e+00 6.571267e+01 3.088750e+00 7.900302e-01
026 2.236205e-02 1.191811e-01 -1.125103e+00 9.442601e-01 3.127891e+00 7.175536e+01 2.791250e+00 9.043988e-01
027 2.135801e-02 1.134255e-01 -9.645883e-01 9.663881e-01 3.014713e+00 6.739297e+01 4.023750e+00 7.285257e-01
028 2.174718e-02 1.317768e-01 -1.399921e+00 9.585702e-01 3.146559e+00 7.476752e+01 3.811250e+00 9.644551e-01
029 2.232480e-02 1.289151e-01 -1.236071e+00 9.401456e-01 3.159051e+00 7.141356e+01 3.428750e+00 9.344431e-01
030 2.192792e-02 1.239137e-01 -1.223681e+00 9.552358e-01 3.118282e+00 7.343152e+01 4.066250e+00 8.682105e-01
031 2.123964e-02 1.275787e-01 -1.381645e+00 9.560725e-01 3.076413e+00 7.375997e+01 3.343750e+00 9.417921e-01
032 2.249688e-02 1.128450e-01 -9.257578e-01 9.494842e-01 3.042810e+00 6.840342e+01 3.981250e+00 7.208264e-01
033 2.337319e-02 1.149703e-01 -8.752207e-01 9.891731e-01 3.149163e+00 6.605231e+01 3.641250e+00 7.771575e-01
034 2.275573e-02 1.222293e-01 -1.032290e+00 9.500281e-01 3.106940e+00 6.907038e+01 3.131250e+00 8.576372e-01
035 2.341077e-02 1.076406e-01 -6.128197e-01 9.955676e-01 3.140289e+00 6.169472e+01 3.046250e+00 6.845285e-01
036 2.199894e-02 1.212967e-01 -1.108222e+00 9.673610e-01 3.179424e+00 7.041129e+01 3.301250e+00 9.050606e-01
037 2.287447e-02 1.097440e-01 -8.487455e-01 9.776227e-01 3.072287e+00 6.672620e+01 3.513750e+00 7.255155e-01
038 2.371239e-02 1.149747e-01 -9.550075e-01 9.765907e-01 3.053508e+00 6.974680e+01 4.108750e+00 7.368773e-01
039 2.174072e-02 1.200700e-01 -9.410529e-01 9.602072e-01 3.092704e+00 6.470430e+01 4.193750e+00 7.613921e-01
